Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Net Interest Margin,Efficiency Ratio,ROAA,ROAE,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans,Liquid Assets to Wholesale funds Ratio,Liquidity Coverage Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes
2010-12-31,,,,,,,,,0.023729342865177045,0.16397998888271262,,,,0.09677083558651121,,,0.8224439733668832,,0.14470877225238477,1.5932287311811884,1.5932287311811884,49.97295,888470362.140412,,204840550.11711007,85978019.33817789,128569455.28797069,21082817.84877785
2011-12-31,,,,,,,,,0.019597619877703393,0.15592109979087518,,,,0.13526623603010016,,,-1207.3741258741259,,0.12568933841531488,1.3396829156550656,1.3396829156550656,27.45015,1354994692.1443737,,228159235.66878983,183285031.84713376,170308386.4118896,26554670.912951168
2012-12-31,,,,,,,,,0.0233553271731642,0.1965457636114558,,,,0.14667698885629665,,,5.070983076817302,,0.1188289523214273,1.2528181624743886,1.2528181624743886,24.71002,1975599146.8821912,,294109558.2870292,289774934.05174834,234758376.83111635,46140764.43845765
2013-12-31,,,,,,,,,0.018380947697699216,0.11874413854115645,,,,0.08065032138544959,,,-2.152390214316712,,0.15479456858688162,1.3746131911775314,1.3746131911775314,18.12635,2379630303.030303,,506344055.9440559,191917948.7179487,368353846.15384614,43739860.13986014
2014-12-31,,,,,,,,,0.012897869319906132,0.09088248866079167,,,,0.1000954522192641,,,7.1575256413185,,0.14191809126228852,1.687958492307346,1.687958492307346,14.25356,2682975787.443754,,642711806.29955,268553674.7375188,380762802.6569531,34604671.09492179
2015-12-31,,,,,,,,,0.01069564267368846,0.08593557382484718,,,,0.12135501772246193,,,5.618218335905161,,0.1244611771079598,2.66096341701878,2.66096341701878,11.85592,2592128775.671135,,858478417.3895155,314567833.51047415,322619398.63544416,27724483.148764014
2016-12-31,11.7,12.7,,,,,,,0.011651196320330527,0.10554457570666487,,,,0.11899627688439218,,,2.0758260207982033,,0.11039123746834849,2.682081298156873,2.682081298156873,13.87527,2704581620.2115293,,800767856.6365157,321835143.33512914,298562111.8893016,31511611.421442144
2017-12-31,12.74,13.37,,,,,,,0.016023057744399872,0.144130287228683,,,,0.1423583763375922,,,-5.8590228211000674,,0.1111706501977411,3.0570456154333376,3.0570456154333376,16.43222,2931032726.313011,,996122459.7519134,417257059.9102665,325844813.9350752,46964106.624439165
2018-12-31,12.7,13.07,,,,,,,0.020618002905663603,0.18435010191612908,,,,0.1545460834769702,,,6.099320768821945,,0.11184155957257814,2.32978220182503,2.32978220182503,20.51692,2555928853.7549405,,665989371.5604138,395008793.9936078,285859069.1605046,52698148.53338881
2019-12-31,12.7,13.07,,,,,,,0.019384644630242014,0.17608259584020827,,,,0.09942655319983583,,,0.8099121926663526,,0.11008836244005185,3.2137063129072527,3.209607029087017,18.84301,3003514517.7289467,,1062618403.1338792,298629095.9834564,330651994.82170177,58222061.567948356
2020-12-31,14.18,14.7,,,,,,,0.02286711026992093,0.2017488082918781,,,,0.10871809462259023,,,-0.8362522500586972,,0.11334446266883601,2.0754585011283306,2.072053145818528,24.18181,2856455866.523143,,671957615.7158234,310548439.181916,323763455.32831,65318891.28094725
2021-12-31,13.8,14.41,,,,,,,0.021997898012529306,0.2546604103147539,,,,0.23700370935906714,,,2.7073755788106464,,0.08638130279198268,3.7710736358708212,3.7680815693450795,24.75829,2599617155.173061,,846825947.5371917,616118908.6894811,224558316.62423682,57186113.05111857
